Unit,Date,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Arms Act,Explosive Act,Narcotics,Smuggling
Barishal Range,2019-01-31,2,3,16,2,0,86,3,2,16,23,1,0,363,0
Barishal Range,2019-02-28,1,4,19,0,0,96,3,1,13,15,1,0,349,0
Barishal Range,2019-03-31,2,0,11,2,0,119,0,2,15,12,4,2,334,1
Barishal Range,2019-04-30,2,5,11,3,0,152,0,1,20,19,4,0,386,1
Barishal Range,2019-05-31,0,2,7,0,0,184,0,0,11,20,2,1,323,1
Barishal Range,2019-06-30,0,5,23,0,0,152,1,3,15,20,0,0,271,0
Barishal Range,2019-07-31,3,6,9,0,0,142,1,1,19,22,4,0,358,0
Barishal Range,2019-08-31,2,1,9,0,0,153,3,2,13,19,6,0,364,1
Barishal Range,2019-09-30,4,2,10,0,0,148,2,3,15,16,5,0,340,2
Barishal Range,2019-10-31,2,3,13,0,0,141,4,1,16,15,5,2,310,0
Barishal Range,2019-11-30,1,1,7,0,0,111,3,0,14,19,3,0,284,0
Barishal Range,2019-12-31,3,1,11,1,0,93,2,0,11,19,3,2,286,2
Barishal Range,2020-01-31,1,3,12,0,0,105,5,0,11,21,6,0,299,2
Barishal Range,2020-02-29,4,0,12,0,0,106,2,1,9,26,1,0,299,2
Barishal Range,2020-03-31,1,4,7,5,0,110,2,1,13,21,0,0,327,1
Barishal Range,2020-04-30,0,0,16,4,0,95,1,3,11,8,0,2,68,0
Barishal Range,2020-05-31,0,2,12,1,0,106,1,2,9,10,2,0,117,2
Barishal Range,2020-06-30,0,3,12,0,0,108,1,0,16,10,3,0,223,0
Barishal Range,2020-07-31,2,3,12,0,0,111,0,1,13,17,9,0,290,0
Barishal Range,2020-08-31,0,3,13,9,0,141,1,2,13,21,3,0,210,0
Barishal Range,2020-09-30,2,6,11,7,0,145,3,0,15,22,4,0,224,0
Barishal Range,2020-10-31,2,2,10,17,0,178,3,4,14,18,2,1,225,1
Barishal Range,2020-11-30,1,1,13,1,0,135,1,1,13,22,0,0,261,0
Barishal Range,2020-12-31,0,2,13,1,0,92,0,2,6,20,2,1,229,0
Barishal Range,2021-01-31,1,1,13,8,0,85,1,3,10,17,0,0,234,0
Barishal Range,2021-02-28,2,1,9,10,0,110,0,1,12,23,0,1,197,0
Barishal Range,2021-03-31,1,1,8,7,0,108,1,1,11,24,2,1,307,0
Barishal Range,2021-04-30,1,4,14,3,0,119,0,1,12,20,6,1,188,1
Barishal Range,2021-05-31,1,4,17,7,0,85,0,0,15,25,2,3,235,0
Barishal Range,2021-06-30,2,5,19,13,0,123,5,4,8,24,1,0,214,0
Barishal Range,2021-07-31,2,0,10,7,0,108,1,1,16,19,2,0,181,0
Barishal Range,2021-08-31,3,3,11,6,0,121,0,0,13,27,2,0,286,2
Barishal Range,2021-09-30,1,1,9,3,0,131,2,1,8,26,1,0,272,1
Barishal Range,2021-10-31,3,4,12,1,0,128,1,1,19,19,1,0,246,0
Barishal Range,2021-11-30,6,2,14,14,0,93,2,3,10,15,4,1,209,4
Barishal Range,2021-12-31,1,0,13,5,0,89,1,1,12,19,3,2,191,0
Barishal Range,2022-01-31,1,3,13,3,0,79,1,1,13,29,1,3,273,1
Barishal Range,2022-02-28,3,5,4,5,0,95,0,2,11,16,0,0,268,0
Barishal Range,2022-03-31,3,6,7,1,0,126,1,3,13,29,4,0,252,0
Barishal Range,2022-04-30,1,3,12,0,0,106,3,2,13,25,2,0,241,3
Barishal Range,2022-05-31,0,5,11,7,0,116,1,1,9,21,2,0,246,0
Barishal Range,2022-06-30,4,3,12,5,0,121,0,6,12,27,1,0,221,0
